Disease;Symptoms;Source
17-Beta-Hydroxysteroid Dehydrogenase Deficiency;['17-hydroxysteroid dehydrogenase iii deficiency is a rare disorder of sexual development affecting testosterone biosynthesis by 17-hydroxysteroid dehydrogenase iii (17-hsd iii)', 'which can produce impaired virilization (traditionally termed male pseudohermaphroditism) of genetically male infants and children and excessive virilization of female adults. it is an autosomal recessive condition and is one of the few disorders of sexual development that can affect the primary and/or secondary sex characteristics of both males and females.'];http://dbpedia.org/resource/17-beta-hydroxysteroid_dehydrogenase_deficiency
17Q21.31 Microdeletion Syndrome;['17q21.31 microdeletion syndrome (koolen de vries syndrome) is a rare genetic disorder caused by a deletion of a segment of chromosome 17 which contains six genes. this deletion syndrome was discovered independently in 2006 by three different research groups.'];http://dbpedia.org/resource/17q21.31_microdeletion_syndrome
1837 Great Plains Smallpox Epidemic;"['the 1837 great plains smallpox epidemic spanned 1836 through 1840', 'but reached its height after the spring of 1837 when an american fur company steamboat', 'the s.s. st. peter', 'carried infected people and supplies into the missouri valley. more than 15,000 native americans died along the missouri river alone', 'with some tribes becoming nearly extinct. having witnessed the effects of the epidemic on the mandan tribe', 'fur trader francis chardon wrote', '""the small-pox had never been known in the civilized world', 'as it had been among the poor mandans and other indians. only twenty-seven mandans were left to tell the tale."" the commissioner of indian affairs in 1839 reported on the casualties: ""no attempt has been made to count the victims', 'nor is it possible to reckon them in any of these tribes w']";http://dbpedia.org/resource/1837_Great_Plains_smallpox_epidemic
18P-;['18p- is a genetic condition caused by a deletion of all or part of the short arm (the p arm) of chromosome 18. it occurs in about 1 of every 50,000 births.'];http://dbpedia.org/resource/18p-
1924 Los Angeles Pneumonic Plague Outbreak;['the 1924 los angeles pneumonic plague outbreak began october 30', '1924', 'and was declared fully contained on november 13', '1924. it represented the first time plague had emerged in southern california. previously', 'plague outbreaks had arisen in san francisco and nearby oakland marking the first time plague had emerged in california. the los angeles outbreak began on october 30', 'lasted two weeks', 'and killed 30 people. public health officials credited the lessons learned from the san francisco outbreak coupled with swiftly implemented measures', 'including hospitalization of the sick and all their contacts', 'a neighborhood quarantine', 'and a large-scale rat eradication program', 'with saving lives.'];http://dbpedia.org/resource/1924_Los_Angeles_pneumonic_plague_outbreak
1P36 Deletion Syndrome;['1p36 deletion syndrome (also known as monosomy 1p36) is a congenital genetic disorder characterized by moderate to severe intellectual disability', 'delayed growth', 'hypotonia', 'seizures', 'limited speech ability', 'malformations', 'hearing and vision impairment', 'and distinct facial features. the symptoms may vary', 'depending on the exact location of the chromosomal deletion.'];http://dbpedia.org/resource/1p36_deletion_syndrome
1Q21.1 Copy Number Variations;['1q21.1 copy number variations (cnvs) are rare aberrations of human chromosome 1. in a common situation a human cell has one pair of identical chromosomes on chromosome 1. with the 1q21.1 cnvs one chromosome of the pair is not complete because a part of the sequence of the chromosome is missing', 'or overcomplete', 'because some parts of the sequence are duplicated. the result is that one chromosome is of normal length and the other one is too long or too short.'];http://dbpedia.org/resource/1q21.1_copy_number_variations
1Q21.1 Deletion Syndrome;"['1q21.1 deletion syndrome or 1q21.1 (recurrent) microdeletion is a rare aberration of chromosome 1. a human cell has one pair of identical chromosomes on chromosome 1. with the 1q21.1 deletion syndrome', 'one chromosome of the pair is not complete', 'because a part of the sequence of the chromosome is missing. one chromosome has the normal length and the other is too short. in 1q21.1', ""the '1' stands for chromosome 1"", ""the 'q' stands for the long arm of the chromosome and '21.1' stands for the part of the long arm in which the deletion is situated.""]";http://dbpedia.org/resource/1q21.1_deletion_syndrome
1Q21.1 Duplication Syndrome;['1q21.1 duplication syndrome or 1q21.1 (recurrent) microduplication is a rare aberration of chromosome 1. unique', 'the international rare chromosome disorder group', 'has 57 genetically confirmed registered cases of this duplication worldwide (october 2012). the cnv leads to a very variable phenotype and the manifestations in individuals are quite variable. some people who have the syndrome can function in a normal way', 'while others have symptoms of mental retardation and various physical anomalies.'];http://dbpedia.org/resource/1q21.1_duplication_syndrome
2-Hydroxyglutaric Aciduria;['2-hydroxyglutaric aciduria is a group of rare neurometabolic disorders characterized by the significantly elevated levels of hydroxyglutaric acid in ones urine. it is either autosomal recessive or autosomal dominant.'];http://dbpedia.org/resource/2-Hydroxyglutaric_aciduria
2-Methylbutyryl-Coa Dehydrogenase Deficiency;['2-methylbutyryl-coa dehydrogenase deficiency', 'also called 2-methylbutyryl glycinuria or short/branched-chain acyl-coa dehydrogenase deficiency (sbcadd)', 'is an autosomal recessive metabolic disorder. it causes the body to be unable to process the amino acid isoleucine properly. initial case reports identified individuals with developmental delay and epilepsy', 'however most cases identified through newborn screening have been asymptomatic.'];http://dbpedia.org/resource/2-Methylbutyryl-CoA_dehydrogenase_deficiency
2,4 Dienoyl-Coa Reductase Deficiency;['2,4 dienoyl-coa reductase deficiency is an inborn error of metabolism resulting in defective fatty acid oxidation caused by a deficiency of the enzyme 2,4 dienoyl-coa reductase. lysine degradation is also affected in this disorder leading to hyperlysinemia. the disorder is inherited in an autosomal recessive manner', 'meaning an individual must inherit mutations in nadk2', 'located at 5p13.2 from both of their parents. nadk2 encodes the mitochondrial nad kinase. a defect in this enzyme leads to deficient mitochondrial nicotinamide adenine dinucleotide phosphate levels. 2,4 dienoyl-coa reductase', 'but also lysine degradation are performed by nadp-dependent oxidoreductases explaining how nadk2 deficiency can lead to multiple enzyme defects.'];http://dbpedia.org/resource/2,4_Dienoyl-CoA_reductase_deficiency
2003 Midwest Monkeypox Outbreak;['the 2003 midwest monkeypox outbreak marked the first time monkeypox infection has appeared in the united states', 'and the first time in the western hemisphere. beginning in may', '2003 a total of 71 cases of human monkeypox were found in five midwestern states including wisconsin (39 cases)', 'indiana (16)', 'illinois (12)', 'kansas (1)', 'missouri (2)', 'and ohio (1). the cause of the outbreak was traced to gambian pouched rats imported into the united states by an exotic animal importer in texas. the rats were shipped from texas to an illinois distributor', 'who housed them with prairie dogs. no deaths were reported. no human-to-human transmission was found. all cases involved direct contact with infected prairie dogs. electron microscopy and testing by polymerase chain reaction and immunohistochemistr'];http://dbpedia.org/resource/2003_Midwest_monkeypox_outbreak
2009 Flu Pandemic;"['the 2009 flu pandemic or swine flu was an influenza pandemic', 'and the second of the two pandemics involving h1n1 influenza virus (the first of them being the 1918 flu pandemic)', 'albeit in a new version. first described in april 2009', 'the virus appeared to be a new strain of h1n1 which resulted when a previous triple reassortment of bird', 'swine and human flu viruses further combined with a eurasian pig flu virus', 'leading to the term ""swine flu"".']";http://dbpedia.org/resource/2009_flu_pandemic
2013 Swansea Measles Epidemic;['the 201213 swansea measles epidemic began in november 2012 and was declared over on 3 july 2013. there were a total of 1,219 measles notifications (suspected cases) in swansea', 'neath port talbot', 'bridgend', 'carmarthenshire', 'ceredigion', 'pembrokeshire and powys', 'with 1,455 measles notifications for the whole of wales', '664 of which were in swansea alone. a total of 88 people were hospitalised for measles infection during the epidemic. one death was reported: a 25-year-old man suffering from giant cell pneumonia brought on by measles infection died on 18 april 2013. the cost associated with treating the sick and controlling the outbreak exceeded 470,000 ($701,898).'];http://dbpedia.org/resource/2013_Swansea_measles_epidemic
22Q11.2 Distal Deletion Syndrome;"['22q11.2 distal deletion syndrome is a rare genetic condition caused by a tiny missing part of one of the bodys 46 chromosomes  chromosome 22. 22q11.2 distal deletion syndrome appears to be a recurrent genomic disorder distinct from digeorge syndrome (dgs; 188400) and velocardiofacial syndrome (vcfs; 192430).']";http://dbpedia.org/resource/22q11.2_distal_deletion_syndrome
22Q11.2 Duplication Syndrome;['22q11.2 duplication syndrome is a rare genetic disorder caused by a duplication of a segment at the end of chromosome 22.'];http://dbpedia.org/resource/22q11.2_duplication_syndrome
22Q13 Deletion Syndrome;['22q13 deletion syndrome (spoken as twenty-two q one three) is a genetic disorder caused by deletions or rearrangements on the q terminal end (long arm) of chromosome 22. any abnormal genetic variation in the q13 region that presents with significant manifestations (phenotype) typical of a terminal deletion should be diagnosed as 22q13 deletion syndrome. 22q13 deletion syndrome is often placed in the more general category of phelan-mcdermid syndrome (abbreviated pms)', 'which includes some mutations and microdeletions. the pms name is less precise', 'since there is disagreement among researchers as to which variants belong in the pms category. the developmental synaptopathies consortium defines pms as being caused by shank3 mutations', 'a definition that excludes terminal deletions. this latter d'];http://dbpedia.org/resource/22q13_deletion_syndrome
