Disease;Symptoms;Source
Abdominal aortic aneurysm;['a pulsating feeling near the navel,deep, constant pain in your abdomen or on the side of your abdomen,back pain,'];"https://www.mayoclinic.org/diseases-conditions/abdominal-aortic-aneurysm/symptoms-causes/syc-20350688"""
Absence seizure;['sudden stop in motion without falling,lip smacking,eyelid flutters,chewing motions,finger rubbing,small movements of both hands,'];"https://www.mayoclinic.org/diseases-conditions/petit-mal-seizure/symptoms-causes/syc-20359683"""
Acanthosis nigricans;"[""skin changes are the only signs of acanthosis nigricans. you'll notice dark, thickened, velvety skin in body folds and creases typically in your armpits, groin and back of the neck. the skin changes usually appear slowly. the affected skin may also have an odor or itch.""]";"https://www.mayoclinic.org/diseases-conditions/acanthosis-nigricans/basics/definition/con-20025600"""
Achalasia;"[""achalasia is a rare disorder that makes it difficult for food and liquid to pass into your stomach. achalasia occurs when nerves in the tube connecting your mouth and stomach (esophagus) become damaged. as a result, the esophagus loses the ability to squeeze food down, and the muscular valve between the esophagus and stomach (lower esophageal sphincter) doesn't fully relax making it difficult for food to pass into your stomach.""]";"https://www.mayoclinic.org/diseases-conditions/achalasia/symptoms-causes/syc-20352850"""
Achilles tendinitis;['the pain associated with achilles tendinitis typically begins as a mild ache in the back of the leg or above the heel after running or other sports activity. episodes of more-severe pain may occur after prolonged running, stair climbing or sprinting.'];"https://www.mayoclinic.org/diseases-conditions/achilles-tendinitis/basics/definition/con-20024518"""
Achilles tendon rupture;"['the feeling of having been kicked in the calf,pain, possibly severe, and swelling near the heel,an inability to bend the foot downward or ""push off"" the injured leg when walking,an inability to stand on the toes on the injured leg,a popping or snapping sound when the injury occurs,']";"https://www.mayoclinic.org/diseases-conditions/achilles-tendon-rupture/symptoms-causes/syc-20353234"""
ACL injury;"['a loud ""pop"" or a ""popping"" sensation in the knee,severe pain and inability to continue activity,swelling that begins within a few hours,loss of range of motion,a feeling of instability or ""giving way"" with weight bearing,']";"https://www.mayoclinic.org/diseases-conditions/acl-injury/symptoms-causes/syc-20350738"""
Acne;['whiteheads (closed plugged pores),blackheads (open plugged pores),small red, tender bumps (papules),pimples (pustules), which are papules with pus at their tips,large, solid, painful lumps beneath the surface of the skin (nodules),painful, pus-filled lumps beneath the surface of the skin (cystic lesions),'];"https://www.mayoclinic.org/diseases-conditions/acne/symptoms-causes/syc-20368047"""
Acne;['whiteheads, blackheads, small red tender bumps, pimples, large solid painful lumps beneath the surface of the skin, painful, pus-filled lumps beneath the surface of the skin'];"https://www.mayoclinic.org/diseases-conditions/acne/basics/definition/con-20020580"""
Acoustic neuroma;['hearing loss, usually gradual although in some cases sudden and occurring on only one side or more pronounced on one side,ringing (tinnitus) in the affected ear,unsteadiness, loss of balance,dizziness (vertigo),facial numbness and very rarely, weakness or loss of muscle movement,'];"https://www.mayoclinic.org/diseases-conditions/acoustic-neuroma/symptoms-causes/syc-20356127"""
